iter	Passed	Remaining
633	6056	51258
634	6067	51262
635	6076	51250
636	6087	51249
637	6095	51228
638	6105	51226
639	6114	51212
640	6124	51200
641	6133	51187
642	6144	51187
643	6152	51172
644	6165	51184
645	6173	51165
646	6184	51166
647	6191	51140
648	6202	51139
649	6212	51129
650	6221	51122
651	6231	51110
652	6240	51100
653	6248	51074
654	6258	51070
655	6266	51047
656	6275	51034
657	6284	51019
658	6292	51001
659	6300	50975
660	6310	50974
661	6319	50960
662	6330	50962
663	6340	50953
664	6350	50945
665	6359	50937
666	6370	50932
667	6380	50925
668	6390	50920
669	6398	50898
670	6407	50888
671	6416	50875
672	6427	50875
673	6435	50855
674	6445	50847
675	6455	50838
676	6465	50838
677	6474	50824
678	6485	50822
679	6492	50796
680	6503	50796
681	6512	50782
682	6523	50783
683	6531	50761
684	6541	50756
685	6549	50734
686	6559	50730
687	6568	50718
688	6579	50712
689	6588	50702
690	6598	50699
691	6606	50677
692	6616	50672
693	6625	50655
694	6636	50658
695	6645	50645
696	6655	50636
697	6664	50620
698	6674	50619
699	6683	50602
700	6690	50577
701	6700	50565
702	6709	50555
703	6719	50549
704	6729	50545
705	6739	50534
706	6748	50524
707	6757	50511
708	6767	50502
709	6775	50485
710	6785	50479
711	6794	50466
712	6805	50467
713	6815	50455
714	6824	50447
715	6832	50424
716	6842	50413
717	6851	50402
718	6861	50399
719	6869	50377
720	6880	50378
721	6889	50361
722	6899	50359
723	6908	50344
724	6917	50333
725	6926	50314
726	6936	50312
727	6946	50302
728	6955	50291
729	6964	50281
730	6974	50268
731	6981	50246
732	6992	50246
733	7000	50226
734	7010	50216
735	7019	50203
736	7030	50206
737	7040	50196
738	7052	50210
739	7062	50200
740	7073	50200
741	7081	50178
742	7091	50177
743	7100	50163
744	7111	50165
745	7120	50151
746	7131	50146
747	7140	50136
748	7151	50135
749	7160	50121
750	7170	50115
751	7179	50105
752	7190	50101
753	7199	50089
754	7210	50093
755	7218	50072
756	7226	50049
757	7235	50035
758	7245	50033
759	7254	50020
760	7265	50017
761	7273	49996
762	7283	49993
763	7292	49976
764	7301	49966
765	7310	49951
766	7321	49949
767	7329	49931
768	7340	49930
769	7349	49917
770	7359	49916
771	7369	49905
772	7378	49896
773	7388	49885
774	7398	49883
775	7408	49870
776	7417	49859
777	7425	49839
778	7436	49837
779	7445	49825
780	7456	49825
781	7465	49813
